NEW PSYCHOACTIVE SUBSTANCES (NPS),,,,,,,,,,,,,,,,
Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise stated),,,,,,,,,,,,,,,,
NPS Type,Region,Sub-region,Country/Territory,Substance,Lifetime,,,Past year,,,Past Month,,,Year,Age,Source
,,,United Kingdom (England and Wales),Mephedrone,"2,00","2,90","1,10","0,30","0,40","0,10","0,10","0,20","0,00",2015-16,16-59,ARQ
,,,United Kingdom (England and Wales),NPS,"2,70","3,70","1,70","0,70","1,00","0,40",,,,2015-16,16-59,Gov./Drug Misuse: Findings from the 2015/2016 Crime Survey for England and Wales
,,,United Kingdom (England and Wales),Mephedrone,"2,20","3,20","1,30","0,50","0,70","0,30","0,20","0,20","0,10",2014-15,16-59,ARQ
,,,United Kingdom (England and Wales),NPS,"2,80","3,80","1,90","0,90","1,30","0,40",,,,2014-15,15-69,Gov.
,,,United Kingdom (England and Wales),Mephedrone,"2,29","3,20","1,40","0,65","0,91","0,39",,,,2013-14,16-59,Drug Misuse: Findings from the 2013/2014 British Crime Survey for England and Wales
,,,United Kingdom (England and Wales),Mephedrone,"1,90",,,"0,50",,,,,,2012-13,16-59,Drug Misuse: Findings from the 2012/2013 British Crime Survey for England and Wales
,,,United Kingdom (England and Wales),Mephedrone,,,,"1,00","1,50","0,70",,,,2011-12,16-59,Drug Misuse: Findings from the 2011/2012 British Crime Survey for England and Wales
,,,United Kingdom (England and Wales),BZP,,,,"0,10",,,,,,2011-12,16-59,Drug Misuse: Findings from the 2011/2012 British Crime Survey for England and Wales
,,,United Kingdom (England and Wales),BZP,,,,"0,10",,,,,,2010-11,16-59,Drug Misuse Declared: Findings from the 2010/2011 British Crime Survey England and Wales
,Oceania,Australia and New Zealand,Australia,NPS,"1,00",,,"0,30",,,,,,2016,14+,2016 National Drug Strategy Household Survey not relayed in the latest ARQ.
,,,Australia,NPS,"0,40",,,"0,40",,,,,,2013,14+,2016 National Drug Strategy Household Survey not relayed in the latest ARQ.
,,,New Zealand,BZP,"13,50","15,70","11,40","5,60","6,40","4,90",,,,2008,16-64,2007/08 New Zealand Alcohol and Drug Use Survey
Plant-based substances,Africa,East Africa,Kenya,Khat,"8,70","14,60","3,00","4,80","8,50","1,20","5,50","7,60","0,70",2017,15-64,ARQ
,Americas,North America,Canada,Salvia Divinorum,"2,71","4,17","1,25",,,,,,,2015,15-64,ARQ
,,,Canada,Salvia Divinorum,"1,60","2,20","1,10",,,,,,,2011,15-64,ARQ
,,,Mexico,Salvia Divinorum,"0,62",,,,,,,,,2016,12-65,"ARQ/Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco, 2016"
,,,United States of America,Salvia Divinorum,,,,"0,50","0,80","0,20",,,,2019,19-30,Monitoring the Future 2019
,,,United States of America,Salvia Divinorum,,,,"0,60","0,70","0,60",,,,2018,19-30,Monitoring the Future 2018
,,,United States of America,Salvia Divinorum,,,,"0,60",,,,,,2018,19-28,Monitoring the Future 2018
,,,United States of America,Salvia Divinorum,,,,"0,70","1,00","0,50",,,,2016,19-30,Monitoring the Future 2016
,,,United States of America,Salvia Divinorum,"2,71","4,17","1,25",,,,,,,2015,15-64,Monitoring the Future 2015
,,,United States of America,Salvia Divinorum,,,,"2,30","3,50","1,50",,,,2011,19-30,Monitoring the Future 2011
,,,United States of America,Khat,,,,"0,50",,,,,,2015,19-30,Monitoring the Future 2015
,Asia,East and South-East Asia,Thailand,Mitragyna speciosa (kratom)-leaves,"31,01","53,16","11,30","9,76","16,14","3,56","6,07","10,27","2,00",2019,15-64,ARQ
,,,Thailand,Mitragyna speciosa (kratom)-leaves,"3,19",,,"0,98",,,"0,61",,,2019,12-65,Gov.
,,,Thailand,Mitragyna speciosa (kratom)-liquid,"10,19","16,99","3,59","4,40","7,75","7,15","3,32","5,74","0,96",2019,15-64,ARQ
,,,Thailand,Mitragyna speciosa (kratom)-liquid,"1,02",,,"0,44",,,"0,33",,,2019,12-65,Gov.
,,Near and Middle East/South-West Asia,Israel,Khat,,,,,,,"1,84",,,2008,18-40,Illegal use of drugs and alcohol in Israel 2009: Seventh national epidemiological survey
,,,Lebanon,Salvia Divinorum,,,,"2,40",,,,,,2017,15-64,ARQ
,,,Yemen,Khat,,,,"52,30","72,00","32,60",,,,2006,12+,Towards Qat Demand Reduction (World Bank)
,Europe,Western and Central Europe,Spain,Salvia Divinorum,"0,20","0,30","0,10","0,00","0,10","0,00","0,00","0,00","0,00",2017,15-64,"Govenment source/Estadísticas 2019: Alcohol, tabaco y drogas ilegales en España"
,,,Spain,Salvia Divinorum,"0,50","0,80","0,10","0,10","0,20","0,00","0,10","0,10","0,00",2015,15-64,"Gov./Estadísticas 2017: Alcohol, tabaco y drogas ilegales en España"
,,,Spain,Salvia Divinorum,"0,90","1,30","0,40","0,20","0,30","0,10","0,10","0,20","0,10",2011,15-64,Government
,,,Spain,Salvia Divinorum,"0,50","0,80","0,20","0,10","0,20","0,00","0,00","0,10","0,00",2013,15-64,Government
,,,United Kingdom (England and Wales),Khat,,,,"0,06",,,,,,2015-16,16-59,Drug Misuse: Findings from the 2015/2016 Crime Survey for England and Wales
,,,United Kingdom (England and Wales),Khat,,,,"0,04",,,,,,2015,16-59,ARQ
,,,United Kingdom (England and Wales),Khat,,,,"0,20",,,,,,2010-11,16-59,Drug Misuse Declared: Findings from the 2010/2011 British Crime Survey England and Wales
,,,United Kingdom (England and Wales),Salvia Divinorum,,,,"0,49",,,,,,2013-14,16-59,Drug Misuse: Findings from the 2013/2014 Crime Survey for England and Wales
,,,United Kingdom (England and Wales),Salvia Divinorum,,,,"0,30",,,,,,2012-13,16-59,Drug Misuse: Findings from the 2012/2013 Crime Survey for England and Wales
